amount,oldbalanceOrg,newbalanceOrig,transaction_type,is_fraud
37460.27,78727.1,74728.16,CASH_IN,0
95071.92,94687.13,66582.42,DEBIT,0
73202.07,170909.48,35230.78,DEBIT,0
59869.86,68000.88,121453.33,CASH_IN,0
15610.3,173929.94,95324.83,CASH_IN,0
15607.89,17626.89,173140.2,TRANSFER,1
5817.78,155359.69,6421.92,TRANSFER,1
86618.95,169509.53,128773.59,TRANSFER,1
60115.49,36363.53,152589.78,TRANSFER,1
70810.18,86069.31,151897.31,CASH_OUT,1
2068.24,33099.95,177214.79,CASH_OUT,1
96991.29,141320.83,145806.75,DEBIT,0
83245.94,107069.55,185562.01,CASH_OUT,1
21241.79,127064.67,66531.32,CASH_OUT,1
18190.68,39297.39,100641.88,TRANSFER,1
18348.62,42349.17,2815.93,TRANSFER,1
30431.18,8299.47,1391.52,CASH_IN,0
52480.4,64413.51,48025.32,TRANSFER,1
43200.18,111948.93,20161.44,CASH_IN,0
29130.0,171586.98,52042.27,CASH_IN,0
61189.17,133385.49,35408.66,CASH_OUT,1
13957.99,87079.26,5704.0,TRANSFER,1
29221.54,190624.02,181860.83,CASH_OUT,1
36642.52,143849.04,1644.63,TRANSFER,1
45612.44,186033.04,147216.43,CASH_OUT,1
78519.74,105517.59,30429.58,CASH_OUT,1
19975.38,51780.85,182445.92,CASH_OUT,1
51428.3,10565.34,178559.19,DEBIT,0
59245.53,145216.97,130780.23,CASH_OUT,1
4654.58,24260.6,134446.83,PAYMENT,0
60758.41,60555.03,1067.83,PAYMENT,0
17060.71,106494.18,196974.31,PAYMENT,0
6514.51,112883.32,175566.52,CASH_IN,0
94889.06,120116.64,179021.25,CASH_OUT,1
96563.55,33251.07,131848.91,PAYMENT,0
80841.65,75947.48,68957.39,CASH_IN,1
30468.33,123438.85,178729.73,PAYMENT,0
9776.23,193963.77,58303.39,TRANSFER,1
68426.46,145526.23,112542.31,DEBIT,0
44020.85,184520.75,19946.19,CASH_OUT,1
12212.6,152442.41,184391.13,DEBIT,0
49522.74,118343.39,28154.09,DEBIT,0
3448.51,38404.67,44979.36,TRANSFER,1
90932.95,133337.13,111626.83,TRANSFER,1
25885.41,124675.91,152818.6,TRANSFER,1
66255.6,120493.83,123870.26,CASH_IN,0
31177.99,97957.17,46426.78,PAYMENT,0
52011.6,105731.32,188.61,CASH_OUT,1
54675.56,66888.51,151430.12,TRANSFER,1
18493.6,103862.54,197041.47,CASH_OUT,1
96958.77,39511.18,161982.62,CASH_OUT,1
77515.53,161034.88,92041.32,CASH_OUT,1
93950.5,37155.39,180753.45,TRANSFER,1
89483.79,16993.26,81969.53,TRANSFER,1
59794.02,87249.21,104986.82,PAYMENT,1
92188.2,131661.49,95425.95,TRANSFER,1
8858.37,87543.36,89524.77,TRANSFER,1
19606.33,55350.83,155038.15,CASH_OUT,1
4532.28,111634.24,105353.78,PAYMENT,0
32539.78,69400.47,63343.42,DEBIT,0
38873.84,186573.54,51631.63,TRANSFER,1
27142.19,184529.03,7549.46,TRANSFER,1
82875.46,100474.36,116639.03,DEBIT,0
35681.77,65576.8,45992.28,CASH_OUT,1
28100.64,147426.48,29626.78,PAYMENT,0
54274.18,7342.59,130765.99,CASH_OUT,1
14101.01,94953.8,136241.85,CASH_IN,0
80221.68,67264.68,150430.98,TRANSFER,1
7464.32,184107.18,100715.38,CASH_IN,0
98688.82,2400.61,178810.92,TRANSFER,1
77226.75,110562.98,187268.55,CASH_IN,1
19879.58,148132.72,161474.19,DEBIT,0
562.16,97003.6,127118.7,TRANSFER,1
81547.99,17080.61,60744.19,TRANSFER,1
70688.67,194492.28,196588.98,CASH_IN,1
72903.43,103602.09,54827.23,PAYMENT,1
77129.32,122837.25,40531.38,CASH_IN,1
7413.72,47321.96,88430.82,TRANSFER,1
35852.99,96699.62,11368.11,TRANSFER,1
11595.75,85829.9,195698.89,PAYMENT,0
86311.71,14979.17,117686.71,CASH_OUT,1
62333.58,21232.07,111390.42,PAYMENT,0
33096.49,167494.5,131159.26,CASH_OUT,1
6365.2,47963.99,99404.73,TRANSFER,1
31105.12,38991.65,6412.7,DEBIT,0
32525.08,100982.29,122462.26,DEBIT,0
72963.32,153749.43,143234.78,CASH_IN,0
63759.37,12389.3,83349.81,PAYMENT,0
88722.4,115361.58,151459.11,PAYMENT,0
47226.77,23842.09,45400.26,DEBIT,0
11968.23,7292.21,44255.32,CASH_OUT,1
71327.35,10548.79,32283.4,PAYMENT,0
76080.9,166832.82,74398.95,CASH_OUT,1
56132.11,23594.5,169402.41,CASH_OUT,1
77099.01,9030.27,165582.41,CASH_OUT,1
49384.62,87579.98,76564.84,CASH_OUT,1
52278.06,168798.69,117823.75,CASH_IN,0
42759.83,52481.68,144163.26,CASH_IN,0
2551.66,84342.52,48241.35,DEBIT,0
10798.06,7984.51,33628.22,CASH_IN,0
3152.6,89815.7,194419.2,PAYMENT,0
63644.68,115522.62,123511.46,CASH_IN,1
31442.45,114181.41,196283.14,PAYMENT,0
50861.98,66485.34,67551.2,PAYMENT,1
90757.57,63106.64,140606.34,CASH_OUT,1
24936.73,21324.72,44520.73,DEBIT,0
41044.19,73359.66,52240.03,CASH_OUT,1
75557.56,19898.93,102380.42,CASH_OUT,1
22887.53,153319.19,63923.63,CASH_IN,0
7707.22,193254.86,33524.31,CASH_IN,0
28982.25,194014.89,52576.14,PAYMENT,0
16130.52,173014.22,7149.68,CASH_IN,0
92970.47,120158.43,140884.72,CASH_IN,0
80813.96,140173.14,98423.33,TRANSFER,1
63344.04,57041.16,18848.61,PAYMENT,1
87147.34,126154.08,34338.8,PAYMENT,0
80369.17,91129.91,20506.91,TRANSFER,1
18665.14,96403.47,122518.56,PAYMENT,0
89256.97,151555.31,18842.07,DEBIT,0
53938.83,56383.67,150856.47,DEBIT,0
80745.94,63607.92,4102.18,TRANSFER,1
89610.17,184928.36,49875.16,CASH_IN,0
31807.17,11244.86,178133.34,DEBIT,0
11014.09,97126.86,143706.26,TRANSFER,1
22801.24,182560.16,14593.67,DEBIT,0
42716.51,122072.6,164225.22,CASH_OUT,1
81803.3,109281.41,98607.02,TRANSFER,1
86074.45,49948.84,169356.61,PAYMENT,0
705.14,68655.1,120147.95,DEBIT,0
51079.62,170409.68,136366.61,PAYMENT,0
41746.93,111843.63,198700.31,TRANSFER,1
22218.56,102948.44,46467.11,DEBIT,0
11995.34,19915.94,124789.11,PAYMENT,0
33768.14,3205.63,92064.28,CASH_IN,0
94291.54,192737.04,7890.39,CASH_IN,0
32327.06,75397.23,2894.13,CASH_OUT,1
51883.87,120642.61,23845.72,TRANSFER,1
70304.87,15943.01,129818.35,PAYMENT,1
36369.32,136622.86,113432.62,CASH_OUT,1
97178.49,186513.34,110685.91,TRANSFER,1
96245.11,115133.05,6371.35,CASH_IN,1
25185.71,25223.06,93860.6,PAYMENT,0
49729.88,116344.31,184924.56,DEBIT,0
30094.82,153269.44,79518.37,CASH_IN,0
28491.2,81283.31,124984.49,DEBIT,0
3698.33,175967.55,155963.74,DEBIT,0
60960.34,129736.59,156785.06,PAYMENT,0
50272.88,179849.78,103856.02,PAYMENT,1
5157.36,124701.06,171590.39,DEBIT,0
27871.86,26257.59,78275.62,CASH_OUT,1
90827.51,61938.34,177738.64,DEBIT,0
23963.79,40358.99,48045.43,DEBIT,0
14498.04,181765.3,56043.28,PAYMENT,0
48950.38,152080.01,10624.12,TRANSFER,1
98565.19,135279.67,159116.37,CASH_IN,1
24213.11,60193.26,83411.05,PAYMENT,0
67216.83,36808.95,45823.32,CASH_OUT,1
76164.35,151290.22,46358.06,CASH_IN,0
23771.38,94831.59,180279.99,PAYMENT,0
72824.35,45157.91,166783.32,PAYMENT,0
36784.64,123324.4,110706.18,TRANSFER,1
63234.26,8066.77,123222.16,CASH_OUT,1
63356.64,65234.05,94865.11,CASH_OUT,1
53582.11,93711.4,78333.31,PAYMENT,1
9038.07,29591.67,183095.38,TRANSFER,1
83531.9,196930.9,25122.54,PAYMENT,1
32084.8,41819.47,83689.36,DEBIT,0
18659.99,26070.63,68912.38,DEBIT,0
4087.11,40706.97,99630.14,TRANSFER,1
59093.39,153812.23,91526.37,PAYMENT,0
67759.66,85101.13,103777.91,TRANSFER,1
1668.62,113083.19,27983.8,PAYMENT,0
51214.18,4201.83,102628.3,PAYMENT,0
22657.31,6886.26,48483.76,DEBIT,0
64520.83,89165.11,36866.27,CASH_IN,1
17444.9,163331.05,12966.84,CASH_OUT,1
69096.86,177047.78,152530.51,CASH_OUT,1
38679.67,17341.31,85488.38,TRANSFER,1
93673.63,107672.62,125328.74,CASH_OUT,1
13760.72,182645.94,145518.67,DEBIT,0
34113.22,77594.55,135863.33,CASH_IN,0
11356.22,165913.17,94100.14,PAYMENT,0
92470.11,26739.13,77579.71,PAYMENT,0
87735.16,187078.9,75191.98,DEBIT,1
25801.58,150284.66,128009.76,CASH_OUT,1
66001.8,188266.88,98958.87,PAYMENT,1
81724.05,135323.45,169826.45,CASH_OUT,1
55524.53,72680.79,174940.4,DEBIT,0
52969.76,187636.23,34112.08,PAYMENT,0
24192.81,55113.36,27246.73,TRANSFER,1
9319.35,66434.5,126080.19,CASH_IN,0
89722.6,140161.68,60245.15,CASH_OUT,1
90042.8,153063.26,3714.14,CASH_OUT,1
63313.81,185880.7,177728.53,CASH_OUT,1
33909.59,40960.48,45380.15,CASH_OUT,1
34927.47,159599.61,185856.13,DEBIT,0
72598.31,147709.21,143486.89,DEBIT,1
89712.05,12758.91,152530.7,DEBIT,1
88709.77,77444.63,40292.3,DEBIT,1
77989.76,56553.09,46838.89,PAYMENT,1
64206.74,60898.08,104253.55,DEBIT,1
8423.16,196589.38,34419.97,PAYMENT,0
16171.26,128555.48,61086.34,TRANSFER,1
89856.43,143535.23,64292.5,DEBIT,1
60646.84,195323.53,31925.99,TRANSFER,1
929.61,75440.36,41036.57,DEBIT,0
10156.14,160368.03,157710.37,TRANSFER,1
66353.54,86906.19,33439.17,CASH_IN,0
516.11,173906.73,5691.48,TRANSFER,1
16089.2,36131.51,125870.99,PAYMENT,0
54877.89,189537.24,195196.62,CASH_OUT,1
69192.6,43754.34,66242.76,TRANSFER,1
65199.61,65244.1,23731.14,CASH_OUT,1
22434.69,151238.45,114077.47,CASH_IN,0
71220.8,78751.03,181270.84,CASH_IN,0
23732.54,121642.28,156812.36,PAYMENT,0
32546.72,88914.7,124503.17,PAYMENT,0
74651.68,148473.99,63011.3,TRANSFER,1
64966.79,45666.25,108376.03,DEBIT,0
84923.85,11691.6,18248.97,CASH_IN,1
65764.71,59985.88,135789.08,CASH_OUT,1
56835.18,94861.73,145019.2,DEBIT,1
9376.54,33604.01,193006.32,CASH_IN,0
36777.9,70959.46,52079.47,TRANSFER,1
26527.58,79996.6,3691.28,CASH_IN,0
24406.52,11478.37,109121.69,PAYMENT,0
97301.33,116661.45,141358.1,CASH_OUT,1
39315.84,176868.69,158081.5,CASH_OUT,1
89205.74,30348.58,38747.79,PAYMENT,0
63117.55,119561.6,52350.57,DEBIT,0
79483.18,132947.84,102518.19,PAYMENT,1
50268.68,83866.94,66120.16,CASH_OUT,1
57694.62,140219.52,172102.3,TRANSFER,1
49256.84,82146.31,94752.03,DEBIT,0
19532.35,100927.46,159915.73,CASH_IN,0
72247.99,1470.61,116123.95,TRANSFER,1
28084.43,138344.02,154618.03,DEBIT,0
2441.35,132268.54,66534.6,CASH_OUT,1
64550.77,7680.18,166283.32,CASH_OUT,1
17719.3,73650.02,54914.46,TRANSFER,1
94046.45,195806.37,109219.76,DEBIT,0
95393.32,84147.31,42801.42,CASH_IN,0
91487.29,100389.08,95105.3,CASH_IN,0
37022.17,181986.03,63635.04,PAYMENT,0
1555.51,143452.38,53340.69,TRANSFER,1
92832.57,116414.03,193397.0,DEBIT,0
42824.13,159560.94,32014.82,TRANSFER,1
96665.82,172873.25,157465.17,CASH_IN,0
96362.36,91377.61,196832.99,DEBIT,1
85302.42,95021.67,3980.3,CASH_OUT,1
29451.94,77210.19,139805.48,CASH_OUT,1
38515.92,193341.23,50582.36,DEBIT,0
85115.16,139433.25,8097.56,TRANSFER,1
31699.03,16644.61,80577.92,TRANSFER,1
16957.58,172591.92,187043.56,CASH_OUT,1
55684.56,96111.99,2353.02,CASH_OUT,1
93616.12,13750.78,117577.14,CASH_IN,0
69606.02,109943.45,100279.3,DEBIT,1
57010.42,83432.86,174676.83,TRANSFER,1
